gvkey,year,patents_applied,patents_granted,private_subsidiary_patents,distinct_assignee_names,private_subsidiary_share,cik,link_method,link_score,link_conflict,candidate_count,ticker_hint,revenue,sales_marketing_expense,sga_expense,rd_expense,capex,employees,sales_marketing_to_revenue,sga_to_revenue,rd_to_revenue,capex_to_revenue,kw_sales_force,kw_customer_service,kw_brand,kw_advertising,kw_customer_data,customer_capital_keyword_total,sic,sic_description,state_of_incorporation,fiscal_year_end,entity_type,name_sec,ticker_sec,naics2_proxy
001104,2013,4,4,0,1,0.0,0000002098,exact_compact_name,0.985,False,4.0,,,,25944948.0,602985.0,4591929.0,,,,,,0.0,2.0,17.0,8.0,0.0,27.0,3420,"Cutlery, Handtools & General Hardware",CT,1231,operating,ACME UNITED CORP,ACU,31-33
001104,2014,14,14,0,1,0.0,0000002098,exact_compact_name,0.985,False,4.0,,107222306.0,,30791150.0,665000.0,2042173.0,,,0.28717112276992063,0.006202067692892186,0.019046158175333405,0.0,2.0,20.0,10.0,0.0,32.0,3420,"Cutlery, Handtools & General Hardware",CT,1231,operating,ACME UNITED CORP,ACU,31-33
001104,2015,4,4,0,1,0.0,0000002098,exact_compact_name,0.985,False,4.0,,109812000.0,,32214212.0,690000.0,1756732.0,,,0.29335784795832875,0.006283466287837395,0.01599763231705096,0.0,2.0,22.0,8.0,0.0,32.0,3420,"Cutlery, Handtools & General Hardware",CT,1231,operating,ACME UNITED CORP,ACU,31-33
001104,2016,6,6,0,1,0.0,0000002098,exact_compact_name,0.985,False,4.0,,124574000.0,,37113000.0,750000.0,1809823.0,,,0.29791930900508934,0.006020517925088702,0.01452809575031708,0.0,2.0,21.0,9.0,0.0,32.0,3420,"Cutlery, Handtools & General Hardware",CT,1231,operating,ACME UNITED CORP,ACU,31-33
001104,2017,25,25,0,1,0.0,0000002098,exact_compact_name,0.985,False,4.0,,130550000.0,,40103220.0,752000.0,3146194.0,,,0.307186671773267,0.005760245116813481,0.0240995327460743,0.0,2.0,21.0,13.0,1.0,37.0,3420,"Cutlery, Handtools & General Hardware",CT,1231,operating,ACME UNITED CORP,ACU,31-33
001104,2018,4,4,0,1,0.0,0000002098,exact_compact_name,0.985,False,4.0,,137321395.0,,43192076.0,734000.0,2850993.0,,,0.31453274997679714,0.005345124843801652,0.02076146255286731,0.0,2.0,19.0,15.0,1.0,37.0,3420,"Cutlery, Handtools & General Hardware",CT,1231,operating,ACME UNITED CORP,ACU,31-33
001107,2002,1,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001115,1997,7,7,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001115,1998,11,11,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001115,1999,2,2,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001117,2015,1,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001161,1997,1111,1111,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001161,1998,1001,1001,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001161,1999,965,965,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001161,2000,1229,1229,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001161,2001,991,991,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001161,2002,844,844,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001161,2003,499,499,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001161,2004,349,349,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001161,2005,251,251,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001161,2006,233,233,38,2,0.1630901287553648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001161,2007,241,241,49,2,0.2033195020746888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001161,2008,187,187,37,2,0.19786096256684493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001161,2009,220,220,53,2,0.2409090909090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001161,2010,271,271,39,2,0.14391143911439114,0000002488,exact_compact_name,0.985,False,1.0,,,,934000000.0,1405000000.0,148000000.0,,,,,,,,,,,,3674,Semiconductors & Related Devices,DE,1226,operating,ADVANCED MICRO DEVICES INC,AMD,31-33
001161,2011,218,218,49,2,0.22477064220183487,0000002488,exact_compact_name,0.985,False,1.0,,,,992000000.0,1453000000.0,250000000.0,,,,,,,,,,,,3674,Semiconductors & Related Devices,DE,1226,operating,ADVANCED MICRO DEVICES INC,AMD,31-33
001161,2012,287,287,54,2,0.18815331010452963,0000002488,exact_compact_name,0.985,False,1.0,,5422000000.0,,193000000.0,313000000.0,133000000.0,,,0.03559572113611213,0.05772777572851347,0.024529693839911472,,,,,,,3674,Semiconductors & Related Devices,DE,1226,operating,ADVANCED MICRO DEVICES INC,AMD,31-33
001161,2013,195,195,26,2,0.13333333333333333,0000002488,exact_compact_name,0.985,False,1.0,,5299000000.0,,155000000.0,288000000.0,84000000.0,,,0.0292508020381204,0.05434987733534629,0.015852047556142668,,,,,,,3674,Semiconductors & Related Devices,DE,1226,operating,ADVANCED MICRO DEVICES INC,AMD,31-33
001161,2014,139,139,21,2,0.1510791366906475,0000002488,exact_compact_name,0.985,False,1.0,,5506000000.0,,144000000.0,238000000.0,95000000.0,,,0.02615328732292045,0.043225572103160186,0.017253904831093354,,,,,,,3674,Semiconductors & Related Devices,DE,1226,operating,ADVANCED MICRO DEVICES INC,AMD,31-33
001161,2015,113,113,15,2,0.13274336283185842,0000002488,exact_compact_name,0.985,False,1.0,,3991000000.0,,482000000.0,947000000.0,96000000.0,,,0.12077173640691556,0.23728388874968678,0.02405412177399148,,,,,,,3674,Semiconductors & Related Devices,DE,1226,operating,ADVANCED MICRO DEVICES INC,AMD,31-33
001161,2016,199,199,35,2,0.17587939698492464,0000002488,exact_compact_name,0.985,False,1.0,,4272000000.0,,121000000.0,264000000.0,77000000.0,,,0.028323970037453183,0.06179775280898876,0.01802434456928839,1.0,1.0,15.0,15.0,0.0,32.0,3674,Semiconductors & Related Devices,DE,1226,operating,ADVANCED MICRO DEVICES INC,AMD,31-33
001161,2017,186,186,36,2,0.1935483870967742,0000002488,exact_compact_name,0.985,False,1.0,,1480000000.0,,132000000.0,315000000.0,113000000.0,,,0.0891891891891892,0.21283783783783783,0.07635135135135135,1.0,1.0,15.0,15.0,1.0,33.0,3674,Semiconductors & Related Devices,DE,1226,operating,ADVANCED MICRO DEVICES INC,AMD,31-33
001161,2018,117,117,19,2,0.1623931623931624,0000002488,exact_compact_name,0.985,False,1.0,,1419000000.0,,138000000.0,371000000.0,163000000.0,,,0.09725158562367865,0.26145172656800564,0.11486962649753348,1.0,1.0,15.0,16.0,1.0,34.0,3674,Semiconductors & Related Devices,DE,1226,operating,ADVANCED MICRO DEVICES INC,AMD,31-33
001161,2019,38,38,9,2,0.23684210526315788,0000002488,exact_compact_name,0.985,False,1.0,,1801000000.0,,750000000.0,1547000000.0,217000000.0,,,0.416435313714603,0.8589672404219878,0.12048861743475847,2.0,1.0,16.0,17.0,0.0,36.0,3674,Semiconductors & Related Devices,DE,1226,operating,ADVANCED MICRO DEVICES INC,AMD,31-33
001161,2020,4,4,0,2,0.0,0000002488,exact_compact_name,0.985,False,1.0,,3244000000.0,,308000000.0,573000000.0,294000000.0,,,0.09494451294697903,0.17663378545006164,0.0906288532675709,2.0,1.0,14.0,21.0,0.0,38.0,3674,Semiconductors & Related Devices,DE,1226,operating,ADVANCED MICRO DEVICES INC,AMD,31-33
001164,1997,11,11,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001164,1998,58,58,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001164,1999,114,114,0,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001164,2000,28,28,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001164,2001,44,44,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001164,2002,29,29,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001164,2003,12,12,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001164,2004,11,11,1,2,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001166,1997,9,9,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
