year,n_patents,benchmark_mean,p10,p50,p90
1900,2,0.00208507987512829,0.00208507987512829,0.00208507987512829,0.00208507987512829
1905,2,0.00208507987512829,0.00208507987512829,0.00208507987512829,0.00208507987512829
1910,1,0.00208507987512829,0.00208507987512829,0.00208507987512829,0.00208507987512829
1911,5,0.00208507987512829,0.00208507987512829,0.00208507987512829,0.00208507987512829
1912,11,0.00208507987512829,0.00208507987512829,0.00208507987512829,0.00208507987512829
1913,9,0.00208507987512829,0.00208507987512829,0.00208507987512829,0.00208507987512829
1914,11,0.00208507987512829,0.00208507987512829,0.00208507987512829,0.00208507987512829
1915,48,0.00208507987512829,0.00208507987512829,0.00208507987512829,0.00208507987512829
1916,10,0.00208507987512829,0.00208507987512829,0.00208507987512829,0.00208507987512829
1917,31,0.0020850798751282902,0.00208507987512829,0.00208507987512829,0.00208507987512829
1918,61,0.0020850798751282902,0.00208507987512829,0.00208507987512829,0.00208507987512829
1919,241,0.0020850798751282907,0.00208507987512829,0.00208507987512829,0.00208507987512829
1920,432,0.002085079875128291,0.00208507987512829,0.00208507987512829,0.00208507987512829
1921,929,0.002085079875128292,0.00208507987512829,0.00208507987512829,0.00208507987512829
1922,1280,0.002085079875128292,0.00208507987512829,0.00208507987512829,0.00208507987512829
1923,1400,0.0020850798751282924,0.00208507987512829,0.00208507987512829,0.00208507987512829
1924,2853,0.0020850798751282924,0.00208507987512829,0.00208507987512829,0.00208507987512829
1925,3885,0.002085079875128291,0.00208507987512829,0.00208507987512829,0.00208507987512829
1926,3772,0.0020850798751282924,0.00208507987512829,0.00208507987512829,0.00208507987512829
1927,5050,0.0020850798751282816,0.00208507987512829,0.00208507987512829,0.00208507987512829
1928,5369,0.002085079875128278,0.00208507987512829,0.00208507987512829,0.00208507987512829
1929,7214,0.0020850798751282664,0.00208507987512829,0.00208507987512829,0.00208507987512829
1930,4736,0.002085079875128281,0.00208507987512829,0.00208507987512829,0.00208507987512829
1931,5874,0.0020850798751282738,0.00208507987512829,0.00208507987512829,0.00208507987512829
1932,5720,0.002085079875128272,0.00208507987512829,0.00208507987512829,0.00208507987512829
1933,5276,0.0020850798751282764,0.00208507987512829,0.00208507987512829,0.00208507987512829
1934,6763,0.002085079875128269,0.00208507987512829,0.00208507987512829,0.00208507987512829
1935,7218,0.002085079875128266,0.00208507987512829,0.00208507987512829,0.00208507987512829
1936,7193,0.0020850798751282664,0.00208507987512829,0.00208507987512829,0.00208507987512829
1937,7413,0.0020850798751282655,0.00208507987512829,0.00208507987512829,0.00208507987512829
1938,7762,0.0020850798751282642,0.00208507987512829,0.00208507987512829,0.00208507987512829
1939,8067,0.002085079875128266,0.00208507987512829,0.00208507987512829,0.00208507987512829
1940,10986,0.002085079875128276,0.00208507987512829,0.00208507987512829,0.00208507987512829
1941,9903,0.0020850798751282694,0.00208507987512829,0.00208507987512829,0.00208507987512829
1942,9504,0.0020850798751282673,0.00208507987512829,0.00208507987512829,0.00208507987512829
1943,7029,0.0020850798751282673,0.00208507987512829,0.00208507987512829,0.00208507987512829
1944,8628,0.0020850798751282647,0.00208507987512829,0.00208507987512829,0.00208507987512829
1945,9642,0.0020850798751282625,0.00208507987512829,0.00208507987512829,0.00208507987512829
1946,7889,0.002085079875128263,0.00208507987512829,0.00208507987512829,0.00208507987512829
1947,10348,0.0020850798751282556,0.00208507987512829,0.00208507987512829,0.00208507987512829
1948,11453,0.0020850798751282503,0.00208507987512829,0.00208507987512829,0.00208507987512829
1949,12073,0.0020850798751282664,0.00208507987512829,0.00208507987512829,0.00208507987512829
1950,10257,0.0020850798751282694,0.00208507987512829,0.00208507987512829,0.00208507987512829
1951,10080,0.0020867368460513297,0.00208507987512829,0.00208507987512829,0.00208507987512829
1952,10371,0.002233854817819059,0.00208507987512829,0.00208507987512829,0.00208507987512829
1953,12031,0.002085338377315372,0.00208507987512829,0.00208507987512829,0.00208507987512829
1954,13933,0.0020897283082943435,0.00208507987512829,0.00208507987512829,0.00208507987512829
1955,16238,0.0021706103365192876,0.00208507987512829,0.00208507987512829,0.00208507987512829
1956,15118,0.002087902543582297,0.00208507987512829,0.00208507987512829,0.00208507987512829
1957,14764,0.0021847109984059095,0.00208507987512829,0.00208507987512829,0.00208507987512829
1958,14968,0.0020949593454493752,0.00208507987512829,0.00208507987512829,0.00208507987512829
1959,14967,0.0022605901482052283,0.00208507987512829,0.00208507987512829,0.00208507987512829
1960,4588,0.002520126708181083,0.00208507987512829,0.00208507987512829,0.00208507987512829
1961,16933,0.002289885002465229,0.00208507987512829,0.00208507987512829,0.00208507987512829
1962,16939,0.0023152176784346874,0.00208507987512829,0.00208507987512829,0.00208507987512829
1963,24119,0.0021954296244090414,0.00208507987512829,0.00208507987512829,0.00208507987512829
1964,31414,0.0023014704460163835,0.00208507987512829,0.00208507987512829,0.00208507987512829
1965,43145,0.002194399981053454,0.00208507987512829,0.00208507987512829,0.00208507987512829
1966,19504,0.002623148808321041,0.00208507987512829,0.00208507987512829,0.00208507987512829
1967,20821,0.0028806379246071054,0.00208507987512829,0.00208507987512829,0.00208507987512829
1968,15767,0.0030833378624700635,0.00208507987512829,0.00208507987512829,0.00208507987512829
1969,28071,0.0027873995516561794,0.00208507987512829,0.00208507987512829,0.00208507987512829
1970,27543,0.0034775382498943293,0.00208507987512829,0.00208507987512829,0.00208507987512829
1971,25812,0.005934583844319774,0.00208507987512829,0.00208507987512829,0.00208507987512829
1972,26994,0.008033012100216761,0.00208507987512829,0.00208507987512829,0.00208507987512829
1973,30278,0.02335086496738286,0.00208507987512829,0.00208507987512829,0.0030485724750241383
1974,14876,0.22431755813338997,0.0026160786544173796,0.03382394792082481,0.8944929453300154
1975,24639,0.22486136104414226,0.0026656681990508725,0.034043770793011505,0.8973160045914933
1976,24403,0.22770244248669805,0.0025377825459638043,0.03434642941386051,0.9040897211583694
1977,24667,0.22554631203688252,0.0024727197296864137,0.03219250052891146,0.9130583180624927
1978,23851,0.22733742729693807,0.0024490349644870355,0.03238660289786274,0.9188151575533228
1979,24253,0.22785123726292134,0.0024534557801926126,0.0321778184847125,0.9206420672667438
1980,25286,0.2304200366924784,0.0023806742990702895,0.03247076369904198,0.9237965288598899
1981,24836,0.23213365143657058,0.0022976959628568184,0.032541653347285815,0.9342470280113885
1982,26203,0.22238901892494425,0.002231229044542666,0.030210563381308987,0.9114753822723232
1983,24413,0.2224729230037583,0.002087766595622705,0.028207493716700997,0.9214770642142727
1984,26124,0.2279740607082757,0.0021034111081571355,0.028583639458074916,0.9282134981492308
1985,27610,0.22876751242219998,0.00212373337916514,0.028857919347606203,0.9386391127660789
