Method,AUC vs weak-label holdout,Best F1,Best threshold
dictionary,1.0,1.0,0.05
hybrid_benchmark,0.9999,0.9958,0.15
text_supervised,0.9998,0.994,0.46
semantic_lsa,0.8413,0.7704,0.48
metadata,0.7062,0.7401,0.52
