Variable,N,Countries,Overall Var,Between Var,Within Var,Within/Overall
Data/evidence share,1813,102,0.0604,0.0508,0.0473,0.784
Data/evidence count,1813,102,3521691.729,568384.5936,1554133.6592,0.4413
Data/evidence per million,1733,94,24086.4569,6148.4128,14210.5234,0.59
Mean benchmark score,1813,102,0.032,0.0334,0.025,0.7804
ECIPE cumulative measures,462,56,231.6368,52.6122,153.9019,0.6644
UNCTAD privacy law,1813,102,0.0796,0.1184,0.0,0.0
